0,13475072
1,14791168
2,14646784
3,23035648
4,2528000
5,2395392
6,3163648
7,2403584
8,2271488
9,2420992
10,2335232
11,2284800
12,2324736
13,2320896
14,2392320
15,2327296
16,2247680
17,2235648
18,2284800
19,2332416
20,2260736
21,2321664
22,2326016
23,2315008
24,2305024
25,2445824
26,2304768
27,2352640
28,2359040
29,2318848
30,2270720
31,2323968
32,2323200
33,2328832
34,2291968
35,2448128
36,2338816
37,2383360
38,2386944
39,2361856
40,2334720
41,2410240
42,2466560
43,2362368
44,2318080
45,2450688
46,2428160
47,2355456
48,2365952
49,2389760
50,2231808
51,2535936
52,2447360
53,2577920
54,2404864
55,2371584
56,2478848
57,2554112
58,2318592
59,2393344
60,2359040
61,2401536
62,2553856
63,2522624
64,2492416
65,2427648
66,2516224
67,2471680
68,2392320
69,2356736
70,2392320
71,2417152
72,2498816
73,2560000
74,2417408
75,2530816
76,2446080
77,2599168
78,2466816
79,2492160
80,2418432
81,2586624
82,2499072
83,2489856
84,2520576
85,2528256
86,2549504
87,2478848
88,2574592
89,2539776
90,2617600
91,2524928
92,2494208
93,2604288
94,2505984
95,2471424
96,2546432
97,2531840
98,2455552
99,2531840
100,2580480
101,2705408
102,2511872
103,2496256
104,2518528
105,2571776
106,2511872
107,2495232
108,2482944
109,2435328
110,2527488
111,2455296
112,2498560
113,2618624
114,2534400
115,2423040
116,2548992
117,2534656
118,2551808
119,2563072
120,2523904
121,2557952
122,2499584
123,2543616
124,2526464
125,2535168
126,2455552
127,2556928
128,2458112
129,2528768
130,2517760
131,2528000
132,2489600
133,2565376
134,2510080
135,2428160
136,2435328
137,2550784
138,2424832
139,2495744
140,2599680
141,2487040
142,2449664
143,2596864
144,2494464
145,2516992
146,2494976
147,2627584
148,2486784
149,2563072
150,2555904
151,2496512
152,2539264
153,2512896
154,3493888
155,2489088
156,2424576
157,2522880
158,2589952
159,2483456
160,2571008
161,2644736
162,2535680
163,2557696
164,2463232
165,2624512
166,2450176
167,2590464
168,2222080
169,1935616
170,2321152
171,2668032
172,2524672
173,2480640
174,2502144
175,2393856
176,2585600
177,2524672
178,2695936
179,2585088
180,2530816
181,2430208
182,2508032
183,2667776
184,2451456
185,2703872
186,2522880
187,2493952
188,2514432
189,2566144
190,2459392
191,2563584
192,2583040
193,2549760
194,2667520
195,2529792
196,2217216
197,2554880
198,2655232
199,2592000
200,2503680
201,2614272
202,2458368
203,2564864
204,2464256
205,2615552
206,2468096
207,2489344
208,2459904
209,2546944
210,2535936
211,2452992
212,2621440
213,2604288
214,2491648
215,2483968
216,2518272
217,2605568
218,2584832
219,2594304
220,2522880
221,2531072
222,2550016
223,2587904
224,2532352
225,2689536
226,2452224
227,2594304
228,2462208
229,2462464
230,2529792
231,2478592
232,2728448
233,2555392
234,2496512
235,2484736
236,2570752
237,2513920
238,2564864
239,3393536
240,2455296
241,2497536
242,2486784
243,2551552
244,2492416
245,2501632
246,2557440
247,2550784
248,2528256
249,2701056
250,2482432
251,2500608
252,2683392
253,2531584
254,2663168
255,2544896
256,2493952
257,2534912
258,2543360
259,2572032
260,2525440
